Player Name,Team,Overall Pick,Projection Rank,Delta,Stamp Type,Points,VOS Stamp
Chris Schmelzer,Pittsburgh Pirates,1,7,-6,,0.0,N
Jonathan Booth,Washington Nationals,2,3,-1,,0.0,N
Josh Hamilton,Cincinnati Reds,3,4,-1,,0.0,N
Skylar Meadows,Milwaukee Brewers,4,32,-28,,0.0,N
Chris Lindsey,Atlanta Braves,5,5,0,Top 100,3.0,Y
Mike Bettenhausen,Boston Red Sox,6,10,-4,,0.0,N
Steve Burlingham,Seattle Mariners,7,29,-22,,0.0,N
Randy LaMontagne,Arizona Diamondbacks,8,1,7,Top 100,4.039720770839918,Y
David Tejada,Chicago White Sox,9,51,-42,,0.0,N
Tito Manguina,Minnesota Twins,10,197,-187,,0.0,N
Steve Huslig,San Francisco Giants,11,8,3,Top 100,3.6931471805599454,Y
Juan Hiles,Colorado Rockies,12,2,10,Top 100,4.198947636399185,Y
Tony Glynn,Los Angeles Dodgers,13,75,-62,,0.0,N
Bobby Henderson,Tampa Bay Rays,14,27,-13,,0.0,N
Tim Beinborn,Houston Astros,15,18,-3,,0.0,N
Steve Perry,Cleveland Guardians,16,52,-36,,0.0,N
Jeff Peterson,Kansas City Royals,17,16,1,Top 100,3.3465735902799727,Y
Sam Lowell,Baltimore Orioles,18,56,-38,,0.0,N
Jaheim Asante,Philadelphia Phillies,19,23,-4,,0.0,N
Jeremy Zuccato,New York Mets,20,98,-78,,0.0,N
GianCarlo Weaver,Los Angeles Angels,21,95,-74,,0.0,N
Ethan Panariello,New York Yankees,22,24,-2,,0.0,N
Jorge Savoy,Chicago Cubs,23,116,-93,,0.0,N
Dalvinson Rice,San Diego Padres,24,30,-6,,0.0,N
Dan Congdon,Texas Rangers,25,13,12,Top 100,4.282474678730768,Y
Joel Fortenberry,Toronto Blue Jays,26,54,-28,,0.0,N
Chris Harrison,Detroit Tigers,27,15,12,Top 100,4.282474678730768,Y
Kaleb Fugate,Miami Marlins,28,63,-35,,0.0,N
Zach Breeding,St. Louis Cardinals,29,26,3,Top 100,3.6931471805599454,Y
Mike Degand,Oakland Athletics,30,108,-78,,0.0,N
Savion Smiling,Cincinnati Reds,31,47,-16,,0.0,N
David Balderrama,Houston Astros,32,65,-33,,0.0,N
Chris Schmidt,St. Louis Cardinals,33,130,-97,,0.0,N
Vince Walton,Milwaukee Brewers,34,39,-5,,0.0,N
Damani Menyweather,Seattle Mariners,35,17,18,Top 100,4.47221948958322,Y
Ronnie Narcisse,Arizona Diamondbacks,36,14,22,Top 100,4.567747107964575,Y
Powell Noftall,Atlanta Braves,37,398,-361,,0.0,N
Ismael Barrios,Pittsburgh Pirates,38,50,-12,,0.0,N
Zion Hyacinthe,Boston Red Sox,39,92,-53,,0.0,N
Eric Dillard,Washington Nationals,40,57,-17,,0.0,N
Brad Marriott,Chicago White Sox,41,118,-77,,0.0,N
Mike Pecina,Minnesota Twins,42,109,-67,,0.0,N
Kevin Carrier,San Francisco Giants,43,76,-33,,0.0,N
Denim Bonaparte,Cincinnati Reds,44,321,-277,,0.0,N
Nate Horton,Colorado Rockies,45,242,-197,,0.0,N
Jorge Guerrero,Los Angeles Dodgers,46,173,-127,,0.0,N
Esteban Ramos,Tampa Bay Rays,47,107,-60,,0.0,N
