ID,Name,Pos,League,Team,Org,LgLvl,Age,Height,Bats,Throws,Cntct,Gap,Pow,Eye,Ks,BABIP,Cntct_R,Gap_R,Pow_R,Eye_R,Ks_R,BABIP_R,Cntct_L,Gap_L,Pow_L,Eye_L,Ks_L,BABIP_L,PotCntct,PotGap,PotPow,PotEye,PotKs,PotBABIP,IFR,IFE,IFA,TDP,OFR,OFE,OFA,CBlk,CArm,CFrm,P,C,1B,2B,3B,SS,LF,CF,RF,PotP,PotC,Pot1B,Pot2B,Pot3B,PotSS,PotLF,PotCF,PotRF,Speed,StlRt,Steal,Run,SacBunt,BuntHit,Stf,Mov,HRA,PBABIP,Ctrl_R,Stf_R,Mov_R,HRA_R,PBABIP_R,Ctrl_L,Stf_L,Mov_L,HRA_L,PBABIP_L,Ctrl_L,PotStf,PotMov,PotHRA,PotPBABIP,PotCtrl,Vel,GB,Stm,Hold,Fst,Snk,Cutt,Crv,Sld,Chg,Splt,Frk,CirChg,Scr,Kncrv,Knbl,PotFst,PotSnk,PotCutt,PotCrv,PotSld,PotChg,PotSplt,PotFrk,PotCirChg,PotScr,PotKncrv,PotKnbl,Int,WrkEthic,Greed,Loy,Lead,Acc,Ovr,Pot
1178,"Darnell Armah",SP,202,2,2,1,30,187,R,R,35,25,20,40,35,35,35,25,20,40,35,35,35,25,20,40,35,35,35,25,20,40,35,35,30,35,50,30,25,30,20,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,20,30,20,20,60,20,50,50,50,55,45,50,50,50,55,45,50,50,45,55,45,50,50,50,55,45,95-97,54,55,75,60,60,0,45,0,45,50,0,0,0,0,0,60,60,0,45,0,45,50,0,0,0,0,0,H,N,N,N,N,VH,50,50
1404,"Chris Rovito",RF,0,0,0,0,30,184,R,L,50,55,55,40,50,50,50,55,50,40,50,50,50,60,55,40,50,50,50,55,55,40,50,50,30,30,50,20,50,50,60,20,20,20,0,0,30,0,0,0,50,0,50,0,0,35,0,0,0,50,0,50,25,65,35,35,20,20,20,20,20,35,20,20,20,20,30,20,20,20,20,35,20,20,20,20,35,20,83-85,38,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,H,N,N,N,N,VH,45,45
1550,"Billy McDonald",RP,203,40,27,2,25,183,S,R,20,30,30,20,25,20,25,30,30,20,25,20,20,25,25,20,25,20,25,30,30,20,25,20,30,40,50,20,30,25,25,20,20,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,20,25,20,25,70,25,45,50,55,45,45,50,55,55,50,45,45,50,50,45,45,50,50,55,45,45,96-98,58,45,35,0,50,0,55,55,35,40,0,0,0,0,0,0,60,0,70,65,55,45,0,0,0,0,0,N,H,H,L,L,VH,45,45
1785,"Dan Brittle",RP,202,19,19,1,32,186,L,R,45,40,20,20,45,50,50,40,20,20,45,50,45,35,20,20,45,45,45,40,20,20,45,50,30,25,45,20,35,30,35,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,30,20,20,70,20,55,45,45,50,45,55,50,45,55,45,50,45,45,50,45,55,45,45,50,45,94-96,47,55,60,65,55,0,0,0,45,0,0,0,0,0,0,65,55,0,0,0,45,0,0,0,0,0,0,H,N,N,N,H,VH,45,45
1802,"Weston Crudge",SP,0,0,0,0,31,186,R,R,35,30,25,20,25,45,35,30,25,20,25,45,35,30,25,20,25,45,35,30,25,20,25,45,35,40,50,25,35,30,25,20,20,20,60,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,20,25,20,20,70,25,40,45,45,50,45,40,45,45,50,45,40,45,45,50,45,40,45,45,50,45,94-96,54,55,55,45,40,0,35,40,40,35,0,0,0,0,0,45,40,0,35,40,40,35,0,0,0,0,0,N,N,N,H,N,VH,40,40
1860,"Chris Riddick",SS,0,0,0,0,27,187,L,R,45,45,25,50,50,45,45,50,30,50,50,45,45,45,25,45,50,45,50,50,30,50,55,45,50,50,65,55,35,40,60,20,20,20,0,0,65,0,50,45,0,0,0,0,0,70,0,50,45,0,0,0,50,60,60,55,45,45,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,83-85,51,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,L,H,L,N,N,VH,35,35
4073,"Jesus Galindo",2B,203,192,17,2,26,186,R,R,50,55,50,45,50,50,50,55,45,45,50,50,50,65,50,50,50,50,55,60,55,45,50,55,45,50,45,45,40,40,35,20,25,20,0,0,65,40,0,0,0,0,0,0,0,65,40,0,0,0,0,0,60,65,55,70,45,45,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,85-87,55,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,L,L,N,L,L,VH,45,50
18631,"Kyoshi Nishimoto",1B,0,0,0,0,36,183,L,L,50,65,50,50,45,50,50,70,50,50,45,50,45,60,45,50,45,50,50,65,50,50,45,50,45,60,35,20,45,55,55,20,25,20,0,0,60,0,0,0,50,25,0,0,0,60,0,0,0,50,25,0,45,60,60,55,65,65,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,83-85,41,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,N,H,H,N,VH,45,45
18880,"Juan Padilla",RF,0,0,0,0,25,187,L,L,45,40,40,35,45,40,45,40,45,35,45,40,40,35,40,30,45,40,45,40,45,35,55,40,35,30,45,20,55,40,55,20,20,20,0,0,0,0,0,0,20,0,45,0,0,0,0,0,0,55,0,50,40,50,50,45,55,35,20,20,20,35,20,20,20,20,30,20,20,20,20,35,20,20,20,20,35,20,85-87,44,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,N,VH,35,35
18994,"Amari Pigues",RP,202,25,25,1,27,184,L,R,20,25,25,20,20,20,20,25,25,20,20,20,20,25,20,20,20,20,20,25,25,20,20,20,30,35,60,25,25,30,35,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,20,20,20,30,70,20,45,50,50,55,50,45,55,50,55,50,45,50,50,55,50,45,50,50,55,50,96-98,59,50,65,45,40,40,35,0,0,0,0,0,0,0,0,50,40,40,35,0,0,0,0,0,0,0,0,H,H,N,N,N,VH,45,45
